,id,bdate,bmonth,dandm
12656,636053,1,3,"1,3"
12657,636148,19,5,"19,5"
12658,636241,26,11,"26,11"
12659,636277,15,4,"15,4"
12660,636300,31,5,"31,5"
12661,636304,9,6,"9,6"
12662,636364,19,8,"19,8"
12663,636388,9,7,"9,7"
12664,636450,23,9,"23,9"
12665,636617,28,10,"28,10"
12666,636667,13,9,"13,9"
12667,636753,8,2,"8,2"
12668,636786,1,7,"1,7"
12669,636876,12,3,"12,3"
12670,636986,27,4,"27,4"
12671,637065,1,9,"1,9"
12672,637089,12,4,"12,4"
12673,637216,1,5,"1,5"
12674,637350,5,8,"5,8"
12675,637435,21,2,"21,2"
12676,637445,1,6,"1,6"
12677,637565,25,6,"25,6"
12678,637584,13,5,"13,5"
12679,637592,16,4,"16,4"
12680,637594,19,4,"19,4"
12681,637678,11,10,"11,10"
12682,637697,23,2,"23,2"
12683,637858,15,3,"15,3"
12684,637865,2,8,"2,8"
12685,637885,12,3,"12,3"
12686,637891,27,8,"27,8"
12687,637906,1,8,"1,8"
12688,637936,15,12,"15,12"
12689,637995,13,1,"13,1"
12690,638102,15,10,"15,10"
12691,638134,7,6,"7,6"
12692,638147,4,8,"4,8"
12693,638211,13,11,"13,11"
12694,638292,13,8,"13,8"
12695,638355,1,5,"1,5"
12696,638420,1,8,"1,8"
12697,638445,29,12,"29,12"
12698,638535,15,2,"15,2"
12699,638586,28,5,"28,5"
12700,638654,9,10,"9,10"
12701,638672,15,5,"15,5"
12702,638812,29,6,"29,6"
12703,638851,21,9,"21,9"
12704,638926,6,5,"6,5"
12705,638956,10,10,"10,10"
12706,639071,11,11,"11,11"
12707,639089,11,12,"11,12"
12708,639142,11,8,"11,8"
12709,639511,10,1,"10,1"
12710,639516,24,9,"24,9"
12711,639556,4,8,"4,8"
12712,639621,14,1,"14,1"
12713,639692,12,7,"12,7"
12714,639697,19,4,"19,4"
12715,639785,5,5,"5,5"
12716,639975,22,7,"22,7"
12717,640004,29,3,"29,3"
12718,640006,5,1,"5,1"
12719,640022,15,5,"15,5"
12720,640035,26,2,"26,2"
12721,640038,17,1,"17,1"
12722,640062,6,9,"6,9"
12723,640111,28,2,"28,2"
12724,640138,25,3,"25,3"
12725,640177,15,10,"15,10"
12726,640214,14,1,"14,1"
12727,640311,6,8,"6,8"
12728,640318,2,7,"2,7"
12729,640398,9,1,"9,1"
12730,640407,20,1,"20,1"
12731,640414,22,10,"22,10"
12732,640481,18,11,"18,11"
12733,640495,30,7,"30,7"
12734,640514,24,11,"24,11"
12735,640670,21,6,"21,6"
12736,640736,27,8,"27,8"
12737,640782,7,2,"7,2"
12738,640784,1,8,"1,8"
12739,640790,23,10,"23,10"
12740,640838,4,2,"4,2"
12741,640894,10,7,"10,7"
12742,641008,16,3,"16,3"
12743,641026,31,12,"31,12"
12744,641116,12,4,"12,4"
12745,641185,13,8,"13,8"
12746,641198,1,3,"1,3"
12747,641224,15,3,"15,3"
12748,641466,7,8,"7,8"
12749,641569,8,5,"8,5"
12750,641579,2,12,"2,12"
12751,641589,28,12,"28,12"
12752,641602,26,1,"26,1"
12753,641712,21,7,"21,7"
12754,641798,9,8,"9,8"
12755,641947,21,9,"21,9"
12756,641950,25,7,"25,7"
12757,641958,26,4,"26,4"
12758,642010,14,6,"14,6"
